Remember,Understand,Apply,Analyze,Evaluate,Create
choose,acquire,act out,accept,advise,abstract
chooses,acquired,acts out,accepted,advised,abstracted
chosen,acquires,acted out,accepting,advises,abstracting
choosing,acquiring,acting out,accepts,advising,abstracts
chose,add,allocate,administer,agree,adapt
define,added,allocates,administered,agreed,adapted
defines,adding,allocated,administering,agrees,adapting
defined,adds,allocating,administers,agreeing,adapts
defining,annotate,alphabetize,advertise,appraise,animate
find,annotated,alphabetizes,advertised,appraised,animated
finds,annotates,alphabetized,advertises,appraises,animating
found,annotating,alphabetizing,advertising,appraising,animates
finding,approximate,amend,allow,argue,anticipate
how,approximated,amends,allowed,argued,anticipated
how's,approximates,amended,allowing,argues,anticipating
label,approximating,amending,allows,arguing,anticipates
labels,approximately,apply,analyze,assess,arbitrate
labeled,associate,applys,analyzed,assessed,arbitrated
labeling,associated,applyed,analyzes,assessing,arbitrating
list,associates,applying,analyzing,assesses,arbitrates
lists,associating,articulate,attribute,authenticate,arrange
listed,clarify,articulates,attributed,authenticated,arranged
listing,clarifies,articulated,attributes,authenticates,arranging
match,clarified,articulating,attributing,authenticating,arranges
matches,clarifying,ascertain,audit,award,assemble
matched,convert,ascertains,audited,awarded,assembled
matching,converted,ascertained,auditing,awarding,assembling
name,converting,ascertaining,audits,awards,assembles
names,converts,assign,blueprint,comment,blog
named,describe,assigns,blueprinted,commented,blogged
naming,described,assigned,blueprinting,commenting,blogging
omit,describes,assigning,blueprints,comments,blogs
omits,describing,attain,breadboard,conclude,brief
omited,detail,attains,breadboarded,concluded,briefed
omiting,detailed,attained,breadboarding,concludes,briefing
recall,detailing,attaining,breadboards,concluding,briefs
recalls,details,avoid,break down,counsel,budget
recalled,example,avoids,breaks down,counseled,budgeted
recalling,examples,avoided,broken down,counseling,budgeting
spell,exampled,avoiding,breaking down,counsels,budgets
spells,exampling,back,categorize,criteria,build
spelled,exemplify,backs,categorized,criteriaed,built
spelling,exemplifys,backed,categorizes,criteriaing,building
tell,exemplified,backing,categorizing,criterias,builds
tells,exemplifying,back up,characterize,criticize,code
told,explain,backs up,characterized,criticized,coded
telling,explained,backed up,characterizes,criticizes,coding
what,explaining,backing up,characterizing,criticizing,codes
what's,explains,calculate,check,critique,collaborate
when,extend,calculates,checked,critiqued,collaborated
when's,extended,calculated,checking,critiques,collaborating
where,extending,calculating,checks,critiquing,collaborates
where's,extends,capture,chunk,debate,collect
which,extrapolate,captures,chunked,debated,collected
which's,extrapolated,captured,chunking,debates,collecting
who,extrapolates,capturing,chunks,debating,collects
who's,extrapolating,change,classify,decide,combine
why,gather,changes,classified,decided,combined
why's,gathered,changed,classifying,decides,combining
underline,gathering,changing,classifys,deciding,combines
underlined,gathers,chart,compare,deduct,compile
underlining,give,charts,compared,deducted,compiled
underlines,gives,charted,compares,deducting,compiling
tally,gave,charting,comparing,deducts,compiles
tallying,giving,compute,confirm,defend,compose
tallyed,given,computes,confirmed,defended,composed
tallied,give example,computed,confirming,defending,composing
talliestrace,give examples,computing,confirms,defends,composes
traced,gave example,concatenate,consolidate,discuss,construct
tracing,gave examples,concatenates,consolidated,discussed,constructed
traces,giving example,concatenated,consolidates,discussing,constructing
bookmark,giving examples,concatenating,consolidating,discusses,constructs
bookmarked,interact,conduct,contrast,disprove,cope
bookmarking,interacted,conducts,contrasted,disproved,coped
bookmarks,interacting,conducted,contrasting,disproving,coping
bullet-point,interacts,conducting,contrasts,disproves,copes
bullet-pointed,journal,consult,correlate,editorialize,correspond
bullet-pointing,journals,consults,correlated,editorialized,corresponded
bullet-points,journaled,consulted,correlating,editorializes,corresponding
cite,journaling,consulting,correlates,editorializing,corresponds
cited,link,convey,corroborate,evaluate,create
cites,linked,conveys,corroborated,evaluated,created
citing,links,conveyed,corroborates,evaluating,creating
copy,linking,conveying,corroborating,evaluates,creates
copies,observe,coordinate,deconstruct,generalize,cultivate
copied,observed,coordinates,deconstructed,generalized,cultivated
copying,observes,coordinated,deconstructing,generalizes,cultivating
duplicate,observing,coordinating,deconstructs,generalizing,cultivates
duplicates,outline,customize,deduce,grade,debug
duplicated,outlined,customizes,deduced,graded,debugged
duplicating,outlines,customized,deduces,grading,debugging
enumerate,outlining,customizing,deducing,grades,debugs
enumerates,paraphrase,deliver,delegate,hire,delete
enumerated,paraphrased,delivers,delegated,hired,deleted
enumerating,paraphrases,delivered,delegating,hiring,deleting
google,paraphrasing,delivering,delegates,hires,deletes
googles,picture graphically,demonstrate,detect,importance,depict
googled,pictures graphically,demonstrates,detected,importanced,depicted
googling,pictured graphically,demonstrated,detecting,importancing,depicting
highlight,picturing graphically,demonstrating,detects,importances,depicts
highlights,pictures,depreciate,diagnose,influence,design
highlighted,pictured,depreciates,diagnosed,influenced,designed
highlighting,picturing,depreciated,diagnosing,influencing,designing
identify,relate,depreciating,diagnoses,influences,designs
identifies,related,derive,differentiate,judge,develop
identified,relates,derives,differentiated,judged,developed
identifying,relating,derived,differentiating,judging,developing
index,rephrase,deriving,differentiates,judges,develops
indexes,rephrased,determine,discriminate,justify,devise
indexed,rephrases,determines,discriminated,justified,devised
indexing,rephrasing,determined,discriminating,justifying,devising
indicate,subtract,determining,discriminates,justifies,devises
indicates,subtracted,diminish,dissect,mark,dictate
indicated,subtracting,diminishs,dissected,marked,dictated
indicating,subtracts,diminished,dissecting,marking,dictating
listen,summarize,diminishing,dissects,marks,dictates
listens,summarized,discover,distinguish,measure,direct
listened,summarizes,discovers,distinguished,measured,directed
listening,summarizing,discovered,distinguishing,measuring,directing
locate,tag,discovering,distinguishes,measures,directs
locates,tags,display,document,moderate,enhance
located,tagged,displays,documented,moderated,enhanced
locating,tagging,displayed,documenting,moderating,enhancing
meet,tweet,displaying,documents,moderates,enhances
meets,tweets,divide,elaborate,opinion,facilitate
meeted,tweeted,divides,elaborated,opinioned,facilitated
meeting,tweeting,divided,elaborates,opinioning,facilitating
memorize,visualize,dividing,elaborating,opinions,facilitates
memorizes,visualized,dramatize,ensnare,perceive,film
memorized,visualizes,dramatizes,ensnared,perceived,filmed
memorizing,visualizing,dramatized,ensnaring,perceiving,filming
point,,dramatizing,ensnares,perceives,films
points,,draw,explore,post,format
pointed,,draws,explored,posted,formatted
pointing,,drawed,exploring,posting,formatting
quote,,drawing,explores,posts,formats
quotes,,employ,factor,prescribe,formulate
quoted,,employs,factored,prescribed,formulated
quoting,,employed,factoring,prescribing,formulating
read,,employing,factors,prescribes,formulates
reads,,engineer,figure out,preserve,generate
readed,,engineers,figures out,preserved,generated
reading,,engineered,figured out,preserving,generating
recite,,engineering,figuring out,preserves,generates
recites,,estimate,file,prioritize,happen
recited,,estimated,filed,prioritized,happened
reciting,,estimates,filing,prioritizing,happening
recognize,,estimating,files,prioritizes,happens
recognizes,,examine,function,prove,hypothesize
recognized,,examines,functioned,proved,hypothesized
recognizing,,examined,functioning,proving,hypothesizing
record,,examining,functions,proves,hypothesizes
records,,execute,group,rank,imagine
recorded,,executes,grouped,ranked,imagined
recording,,executed,grouping,ranking,imagining
repeat,,executing,groups,ranks,imagines
repeats,,exercise,infer,rate,import
repeated,,exercises,inferred,rated,imported
repeating,,exercised,inferring,rating,importing
reproduce,,exercising,infers,rates,imports
reproduces,,expand,inference,recommend,improve
reproduced,,expands,inferences,recommended,improved
reproducing,,expanded,inferenced,recommending,improving
retrieve,,expanding,inferencing,recommends,improves
retrieves,,experiment,inspect,reconcile,incorporate
retrieved,,experiments,inspected,reconciled,incorporated
retrieving,,experimented,inspecting,reconciling,incorporating
review,,experimenting,inspects,reconciles,incorporates
reviews,,experiment with,integrate,reflect,interface
reviewed,,experiments with,integrated,reflected,interfaced
reviewing,,experimented with,integrating,reflecting,interfacing
search,,experimenting with,integrates,reflects,interfaces
searchs,,expose,interpret,release,invent
searched,,exposes,interpreted,released,invented
searching,,exposed,interpreting,releasing,inventing
state,,exposing,interprets,releases,invents
states,,express,inventory,resolve,join
stated,,expresss,inventoried,resolved,joined
stating,,expressed,inventorying,resolving,joining
study,,expressing,inventories,resolves,joins
studys,,figure,investigate,rule on,lead
studyed,,figures,investigated,ruled on,led
studying,,figured,investigating,ruling on,leading
,,figuring,investigates,rules on,leads
,,graph,layout,score,lecture
,,graphs,layouts,scored,lectured
,,graphed,layouted,scoring,lecturing
,,graphing,layouting,scores,lectures
,,guide,mash,support,make up
,,guides,mashed,supported,made up
,,guided,mashing,supporting,making up
,,guiding,mashes,supports,makes up
,,hack,maximize,test,mix
,,hacks,maximized,tested,mixed
,,hacked,maximizing,testing,mixing
,,hacking,maximizes,tests,mixes
,,handle,mind-map,uphold,model
,,handles,mind-mapped,upholded,modeled
,,handled,mind-mapping,upholding,modelling
,,handling,mind-maps,upholds,models
,,illustrate,minimize,validate,negotiate
,,illustrates,minimized,validated,negotiated
,,illustrated,minimizing,validating,negotiating
,,illustrating,minimizes,validates,negotiates
,,implement,motive,value,network
,,implements,motived,valued,networked
,,implemented,motiving,valuing,networking
,,implementing,motives,values,networks
,,interconvert,optimize,verify,original
,,interconverts,optimized,verified,originals
,,interconverted,optimizing,verifying,originate
,,interconverting,optimizes,verifies,originated
,,interview,order,weigh,originating
,,interviews,ordered,weighed,originates
,,interviewed,ordering,weighing,overhaul
,,interviewing,orders,weighs,overhauled
,,load,organize,,overhauling
,,loads,organizes,,overhauls
,,loaded,organized,,plan
,,loading,organizing,,planned
,,make use of,point out,,planning
,,makes use of,point outs,,plans
,,made use of,point outed,,podcast
,,making use of,point outing,,podcasted
,,manage,predict,,podcasting
,,managed,predicted,,podcasts
,,managing,predicting,,portray
,,manages,predicts,,portrayed
,,manipulate,proofread,,portraying
,,manipulates,proofreaded,,portrays
,,manipulated,proofreading,,produce
,,manipulating,proofreads,,produced
,,modify,query,,producing
,,modifies,queryed,,produces
,,modified,querying,,program
,,modifying,querys,,programmed
,,multiply,question,,programming
,,multiplies,questioned,,programs
,,multiplied,questioning,,propose
,,multiplying,questions,,proposed
,,obtain,relationship,,proposing
,,obtains,relationshiped,,proposes
,,obtained,relationshiping,,rearrange
,,obtaining,relationships,,rearranged
,,operate,select,,rearranging
,,operates,selected,,rearranges
,,operated,selecting,,reconstruct
,,operating,selects,,reconstructed
,,paint,separate,,reconstructing
,,paints,separated,,reconstructs
,,painted,separating,,revise
,,painting,separates,,revised
,,perform,size up,,revising
,,performs,size ups,,revises
,,performed,size uped,,rewrite
,,performing,size uping,,rewritten
,,personalize,structure,,rewriting
,,personalizes,structured,,rewrites
,,personalized,structuring,,role play
,,personalizing,structures,,role played
,,play,subdivide,,role playing
,,plays,subdivided,,role plays
,,played,subdividing,,role-playing
,,playing,subdivides,,role-played
,,plot,survey,,role-plays
,,plots,surveyed,,solution
,,plotted,surveying,,solutions
,,plotting,surveys,,solutioned
,,practice,take part in,,solutioning
,,practices,takes part in,,specify
,,practiced,took part in,,specified
,,practicing,taking part in,,specifying
,,prepare,test for,,specifies
,,prepares,tests for,,suppose
,,prepared,tested for,,supposed
,,preparing,testing for,,supposing
,,present,theme,,supposes
,,presents,themed,,teach
,,presented,theming,,taught
,,presenting,themes,,teaching
,,price,train,,teaches
,,prices,trained,,theory
,,priced,training,,theorized
,,pricing,trains,,theorizing
,,process,transform,,theories
,,processs,transformed,,unify
,,processed,transforming,,unified
,,processing,transforms,,unifying
,,project,troubleshoot,,unifies
,,projects,troubleshooted,,wiki building
,,projected,troubleshooting,,wiki built
,,projecting,troubleshoots,,wiki builds
,,protect,,,write
,,protects,,,wrote
,,protected,,,writing
,,protecting,,,writes
,,provide,,,
,,provides,,,
,,provided,,,
,,providing,,,
,,reenact,,,
,,reenacts,,,
,,reenacted,,,
,,reenacting,,,
,,round off,,,
,,rounds off,,,
,,rounded off,,,
,,rounding off,,,
,,sequence,,,
,,sequences,,,
,,sequenced,,,
,,sequencing,,,
,,show,,,
,,shows,,,
,,showed,,,
,,showing,,,
,,shown,,,
,,simplify,,,
,,simplifies,,,
,,simplifyed,,,
,,simplifying,,,
,,simulate,,,
,,simulates,,,
,,simulated,,,
,,simulating,,,
,,sketch,,,
,,sketches,,,
,,sketched,,,
,,sketching,,,
,,solve,,,
,,solves,,,
,,solved,,,
,,solving,,,
,,subscribe,,,
,,subscribes,,,
,,subscribed,,,
,,subscribing,,,
,,unsubscribe,,,
,,unsubscribes,,,
,,unsubscribed,,,
,,unsubscribing,,,
,,tabulate,,,
,,tabulates,,,
,,tabulated,,,
,,tabulating,,,
,,transcribe,,,
,,transcribes,,,
,,transcribed,,,
,,transcribing,,,
,,translate,,,
,,translates,,,
,,translated,,,
,,translating,,,
,,use,,,
,,uses,,,
,,used,,,
,,using,,,
,,utilize,,,
,,utilizes,,,
,,utilized,,,
,,utilizing,,,
